"Meta Tags Template","Meta Tags Template"
"General","General"
"Enable","Enable"
"Product Settings","Product Settings"
"Max Product Meta Title Length (characters)","Max Product Meta Title Length (characters)"
"Maximum should be about 70-71 charaters","Maximum should be about 70-71 charaters"
"Max Product Meta Description Length(characters)","Max Product Meta Description Length(characters)"
"Maximum should be about 160 charaters","Maximum should be about 160 charaters"
"Max Product Meta Keywords","Max Product Meta Keywords"
"Maximum should be about 30 words","Maximum should be about 30 words"
"Category Settings","Category Settings"
"Max Category Meta Title Length(characters)","Max Category Meta Title Length(characters)"
"Maximum should be about 70-71 charaters","Maximum should be about 70-71 charaters"
"Max Category Meta Description Length(characters)","Max Category Meta Description Length(characters)"
"Maximum should be about 160 charaters","Maximum should be about 160 charaters"
"Max Category Meta Keywords","Max Category Meta Keywords"
"Maximum should be about 30 words","Maximum should be about 30 words"
"Are you sure you want to delete this template?","Are you sure you want to delete this template?"
"Start Generating","Start Generating"
"Back To Meta Tag", "Back To Meta Tag"
"Insert Variables", "Insert Variables"
"Insert", "Insert"
"Product Attributes", "Product Attributes"
"Store Attributes", "Store Attributes"
"Category Attributes", "Category Attributes"
"Insert Template Variables", "Insert Template Variables"
"Category is not valid. Please try again!", "Category is not valid. Please try again!"
"Save and Generate Meta Template successfully!", "Save and Generate Meta Template successfully!"
"Save successfully. Please generate Meta Template!", "Save successfully. Please generate Meta Template!"
"Product Conditions", "Product Conditions"
"Conditions", "Conditions"
"Priority", "Priority"
"Name", "Name"
"Meta Template Type", "Meta Template Type"
"Scope", "Scope"
"Categories", "Categories"
"Apply for Sub-categories", "Apply for Sub-categories"
"Meta Title", "Meta Title"
"Meta Description", "Meta Description"
"Meta Keyword", "Meta Keyword"
"URL Key", "URL Key"
"Short Description", "Short Description"
"Description", "Description"
"Template Settings", "Template Settings"
"New Meta Template", "New Meta Template"
"You deleted the Meta Template.", "You deleted the Meta Template."
"We can't find a Meta Template to delete.", "We can't find a Meta Template to delete."
"This Meta Template no longer exists.", "This Meta Template no longer exists."
"Generate Meta Template", "Generate Meta Template"
"Generate Meta Template successfully!", "Generate Meta Template successfully!"
"Please correct the data sent.", "Please correct the data sent."
Max Product Main Keyword Length (characters),Max Product Main Keyword Length (characters)
Max Category Main Keyword Length (characters),Max Category Main Keyword Length (characters)
Maximum should be about 155-160 charaters,Maximum should be about 155-160 charaters
