"Bss Commerce SEO", "Bss Commerce SEO"
"General", "General"
"SEO Toolbar", "SEO Toolbar"
"Enable", "Enable"
"Start Check", "Start Check"
"URL:", "URL:"
"Canonical Tag:", "Canonical Tag:"
"Title:", "Title:"
"Meta Description:", "Meta Description:"
"Meta Keywords:", "Meta Keywords:"
"Headings:", "Headings:"
"All images have ALT attribute.", "All images have ALT attribute."
" image without ALT.", " image without ALT."
" images without ALT.", " images without ALT."
"Great! We have found several Open Graph objects.", "Great! We have found several Open Graph objects."
"Your page does not have any Open Graph objects.", "Your page does not have any Open Graph objects."
"Nice! We have found Twitter Cards on your page.", "Nice! We have found Twitter Cards on your page."
"Your page does not have any Twitter Cards.", "Your page does not have any Twitter Cards."
"Twitter Card:", "Twitter Card:"
