Latitude,Latitude
Longitude,Longitude
"Order & Account Information","Order & Account Information"
"The order confirmation email was sent","The order confirmation email was sent"
"The order confirmation email is not sent","The order confirmation email is not sent"
"Order # %1","Order # %1"
"Order Date","Order Date"
"Order Date (%1)","Order Date (%1)"
"Order Status","Order Status"
"Purchased From","Purchased From"
"Link to the New Order","Link to the New Order"
"Link to the Previous Order","Link to the Previous Order"
"Placed from IP","Placed from IP"
"%1 / %2 rate:","%1 / %2 rate:"
"Account Information","Account Information"
"Edit Customer","Edit Customer"
"Customer Name","Customer Name"
Email,Email
"Customer Group","Customer Group"
"Address Information","Address Information"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
Author:,Author:
"Webkul Software Private Limited","Webkul Software Private Limited"
Webkul,Webkul
"User Guide:","User Guide:"
"Click here","Click here"
"Store Extension:","Store Extension:"
Ticket/Customisations:,Ticket/Customisations:
Services:,Services:
"Version: %1","Version: %1"
"* Required Fields","* Required Fields"
"Contact Information","Contact Information"
Address,Address
"Street Address %1","Street Address %1"
City,City
"Please select a region, state or province.","Please select a region, state or province."
"It's a default billing address.","It's a default billing address."
"Use as my default billing address","Use as my default billing address"
"It's a default shipping address.","It's a default shipping address."
"Use as my default shipping address","Use as my default shipping address"
"Save Address","Save Address"
"Go back","Go back"
"Order Information","Order Information"
Lat:,Lat:
Lng:,Lng:
"Shipping Method","Shipping Method"
"No shipping information available","No shipping information available"
"Payment Method","Payment Method"
"No results found.","No results found."
Shipping,Shipping
Cancel,Cancel
"Please update the address first. lat and long is empty!","Please update the address first. lat and long is empty!"
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
"Google Map Pin Address Settings","Google Map Pin Address Settings"
"General Settings","General Settings"
Active,Active
"Enable or disable module on frontend","Enable or disable module on frontend"
"API Key","API Key"
"enter the Google map API key","enter the Google map API key"
"Default Latitude for Map","Default Latitude for Map"
"enter the default latitude for google map","enter the default latitude for google map"
"Default Longitude for Map","Default Longitude for Map"
"enter the default longitude for google map","enter the default longitude for google map"
"Show Product Information","Show Product Information"
